match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2010_08,2010,2010-03-16,RCB,KXIP,M Chinnaswamy Stadium,Bangalore,KXIP,bat,RCB,0,8,JH Kallis,8,wickets,8
2010_10,2010,2010-03-18,RCB,RR,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,10,JH Kallis,10,wickets,10
2010_12,2010,2010-03-19,DD,CSK,Arun Jaitley Stadium,Delhi,DD,bat,CSK,0,5,ML Hayden,12,wickets,5
2010_13,2010,2010-03-20,MI,RCB,Brabourne Stadium,Mumbai,MI,bat,RCB,0,7,JH Kallis,13,wickets,7
2010_17,2010,2010-03-22,MI,KKR,Brabourne Stadium,Mumbai,KKR,bat,MI,0,7,SR Tendulkar,17,wickets,7
2010_20,2010,2010-03-25,CSK,MI,Brabourne Stadium,Mumbai,MI,field,MI,0,5,SR Tendulkar,20,wickets,5
2010_22,2010,2010-03-26,RR,SRH,Narendra Modi Stadium,Ahmedabad,SRH,bat,RR,0,8,YK Pathan,22,wickets,8
2010_27,2010,2010-03-30,MI,KXIP,Brabourne Stadium,Mumbai,MI,field,MI,0,4,SL Malinga,27,wickets,4
2010_28,2010,2010-03-31,CSK,RCB,MA Chidambaram Stadium,Chennai,RCB,bat,CSK,0,5,M Vijay,28,wickets,5
2010_31,2010,2010-04-02,KXIP,RCB,PCA IS Bindra Stadium,Chandigarh,KXIP,bat,RCB,0,6,KP Pietersen,31,wickets,6
2010_35,2010,2010-04-04,KKR,KXIP,Eden Gardens,Kolkata,KKR,bat,KXIP,0,8,DPMD Jayawardene,35,wickets,8
2010_39,2010,2010-04-07,RR,KXIP,Sawai Mansingh Stadium,Jaipur,KXIP,bat,RR,0,9,MJ Lumb,39,wickets,9
2010_40,2010,2010-04-08,RCB,SRH,M Chinnaswamy Stadium,Bangalore,SRH,field,SRH,0,7,TL Suman,40,wickets,7
2010_41,2010,2010-04-09,KXIP,MI,PCA IS Bindra Stadium,Chandigarh,MI,bat,KXIP,0,6,KC Sangakkara,41,wickets,6
