bowler,total_runs,ball,is_wicket,matches_bowling,overs,bowling_economy,bowling_average,bowling_strike_rate,wickets_per_match,dot_balls,dot_ball_percentage
AB Dinda,2103,1589,82,75,264.8333333333333,7.940843297671492,25.646341463414632,19.378048780487806,1.0933333333333333,627.0,39.458779106356204
AB McDonald,263,188,14,10,31.333333333333332,8.393617021276595,18.785714285714285,13.428571428571429,1.4,50.0,26.595744680851062
AC Gilchrist,0,1,1,1,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,100.0
AC Thomas,416,327,16,15,54.5,7.63302752293578,26.0,20.4375,1.0666666666666667,126.0,38.53211009174312
AC Voges,76,56,1,7,9.333333333333334,8.142857142857142,76.0,56.0,0.14285714285714285,15.0,26.785714285714285
AD Mascarenhas,365,310,19,13,51.666666666666664,7.064516129032258,19.210526315789473,16.31578947368421,1.4615384615384615,124.0,40.0
AD Mathews,1095,807,28,44,134.5,8.141263940520446,39.107142857142854,28.821428571428573,0.6363636363636364,224.0,27.757125154894673
AD Russell,2691,1771,125,112,295.1666666666667,9.116883116883116,21.528,14.168,1.1160714285714286,584.0,32.975719932241674
AF Milne,339,217,9,10,36.166666666666664,9.373271889400922,37.666666666666664,24.11111111111111,0.9,69.0,31.797235023041477
AG Murtaza,322,269,12,12,44.833333333333336,7.182156133828996,26.833333333333332,22.416666666666668,1.0,101.0,37.54646840148699
AJ Finch,67,44,1,5,7.333333333333333,9.136363636363637,67.0,44.0,0.2,13.0,29.545454545454547
AJ Hosein,41,24,1,1,4.0,10.25,41.0,24.0,1.0,5.0,20.833333333333336
AJ Tye,1005,714,48,30,119.0,8.445378151260504,20.9375,14.875,1.6,208.0,29.13165266106443
AK Markram,173,123,2,14,20.5,8.439024390243903,86.5,61.5,0.14285714285714285,32.0,26.01626016260163
AL Menaria,144,113,3,12,18.833333333333332,7.646017699115045,48.0,37.666666666666664,0.25,40.0,35.39823008849557
AM Nayar,323,239,9,19,39.833333333333336,8.10878661087866,35.888888888888886,26.555555555555557,0.47368421052631576,69.0,28.870292887029287
AM Rahane,5,6,1,1,1.0,5.0,5.0,6.0,1.0,2.0,33.33333333333333
AM Salvi,205,156,7,7,26.0,7.884615384615385,29.285714285714285,22.285714285714285,1.0,57.0,36.53846153846153
AN Ahmed,515,362,15,17,60.333333333333336,8.535911602209945,34.333333333333336,24.133333333333333,0.8823529411764706,120.0,33.14917127071823
AP Dole,114,73,5,3,12.166666666666666,9.36986301369863,22.8,14.6,1.6666666666666667,20.0,27.397260273972602
AR Patel,3824,3152,131,148,525.3333333333334,7.279187817258883,29.19083969465649,24.061068702290076,0.8851351351351351,1021.0,32.392131979695435
AS Joseph,707,454,22,22,75.66666666666667,9.343612334801762,32.13636363636363,20.636363636363637,1.0,162.0,35.68281938325991
AS Rajpoot,844,567,24,29,94.5,8.931216931216932,35.166666666666664,23.625,0.8275862068965517,192.0,33.86243386243386
AS Raut,45,30,0,5,5.0,9.0,45.0,30.0,0.0,6.0,20.0
