batter,runs,balls,matches,dismissals,average,strike_rate,sixes,fours,highest_score
JD Unadkat,1,6,2,1.0,1.0,16.666666666666664,0.0,0.0,1
JDS Neesham,42,46,3,3.0,14.0,91.30434782608695,1.0,3.0,22
JH Kallis,151,131,7,6.0,25.166666666666668,115.2671755725191,4.0,13.0,72
JJ Bumrah,1,4,2,1.0,1.0,25.0,0.0,0.0,1
JO Holder,16,12,1,1.0,16.0,133.33333333333331,1.0,2.0,16
JP Duminy,410,311,14,8.0,51.25,131.83279742765274,20.0,22.0,67
JP Faulkner,181,99,12,5.0,36.2,182.82828282828282,16.0,8.0,41
KA Pollard,273,208,15,9.0,30.333333333333332,131.25,15.0,15.0,78
KD Karthik,325,261,14,14.0,23.214285714285715,124.52107279693487,11.0,28.0,69
KK Cooper,39,28,3,3.0,13.0,139.28571428571428,3.0,2.0,32
KK Nair,330,237,11,11.0,30.0,139.24050632911394,9.0,38.0,73
KL Rahul,166,166,8,8.0,20.75,100.0,3.0,12.0,46
KM Jadhav,149,104,10,3.0,49.666666666666664,143.26923076923077,7.0,13.0,37
KP Pietersen,294,239,11,10.0,29.4,123.01255230125523,7.0,34.0,58
KV Sharma,42,30,8,3.0,14.0,140.0,3.0,1.0,17
KW Richardson,1,2,1,1.0,1.0,50.0,0.0,0.0,1
Karanveer Singh,1,1,1,0.0,1.0,100.0,0.0,0.0,1
L Balaji,1,3,2,1.0,1.0,33.33333333333333,0.0,0.0,1
