match_id,season,team1,team2,winner,nrr
2011_22,2011,KXIP,RR,KXIP,1.8513688016528933
2011_23,2011,KKR,RCB,RCB,-1.338547026137066
2011_24,2011,MI,CSK,MI,0.43168604651162834
2011_25,2011,DD,KXIP,DD,1.1463414634146343
2011_26,2011,RR,KTK,RR,-2.42711287577992
2011_27,2011,SRH,MI,MI,1.8736505397840864
2011_28,2011,CSK,PW,CSK,1.2195121951219514
2011_29,2011,DD,RCB,RCB,-0.47617232176896707
2011_30,2011,KTK,SRH,SRH,1.8813203883495149
2011_31,2011,PW,CSK,CSK,-0.2505900865460271
2011_32,2011,DD,KKR,KKR,0.7089093701996934
2011_33,2011,RCB,PW,RCB,1.5352066115702465
2011_34,2011,RR,MI,RR,-0.6334310850439895
2011_35,2011,KKR,KXIP,KKR,-0.8474400710269308
2011_36,2011,KTK,DD,DD,1.272842105263158
2011_38,2011,RR,PW,RR,-0.227717316434771
2011_37,2011,CSK,SRH,CSK,0.8619197482297398
2011_39,2011,DD,KTK,KTK,-1.656237623762376
2011_40,2011,MI,KXIP,MI,1.1404958677685952
2011_41,2011,SRH,KKR,KKR,0.7793263646922179
2011_42,2011,CSK,RR,CSK,-0.4773883550028266
2011_43,2011,PW,MI,MI,1.016129032258064
2011_44,2011,KTK,KKR,KTK,0.6519344262295084
2011_45,2011,SRH,DD,DD,-0.4032786885245905
2011_46,2011,RCB,KXIP,RCB,4.405289256198345
2011_48,2011,KKR,CSK,KKR,-0.24854819976771214
2011_47,2011,MI,DD,MI,1.6605222734254994
2011_49,2011,KXIP,PW,PW,-0.6555045871559626
2011_50,2011,RCB,KTK,RCB,-3.551900170164494
2011_51,2011,RR,CSK,CSK,2.812958677685952
2011_52,2011,SRH,PW,PW,-0.5305346302932792
2011_53,2011,KXIP,MI,KXIP,1.5067750677506773
2011_54,2011,RR,RCB,RCB,-1.7035384615384617
2011_55,2011,CSK,DD,CSK,1.0105764145954534
2011_56,2011,KTK,KXIP,KXIP,-0.9243200630666131
2011_57,2011,RCB,KKR,RCB,-1.2996835443037984
2011_58,2011,MI,SRH,SRH,0.8348398760330573
2011_59,2011,KTK,RR,KTK,-7.099557522123893
2011_60,2011,KXIP,DD,KXIP,1.208915417830836
2011_61,2011,PW,SRH,SRH,-0.15445061644763491
2011_62,2011,KXIP,RCB,KXIP,4.198562443845463
2011_63,2011,CSK,KTK,CSK,0.8139925132309287
2011_64,2011,PW,KKR,KKR,-1.2223614155966178
2011_65,2011,MI,RR,RR,-3.384942319368548
2011_66,2011,KXIP,SRH,SRH,3.6585365853658534
2011_67,2011,DD,PW,,0.0
2011_68,2011,RCB,CSK,RCB,-0.5771756978653535
2011_69,2011,KKR,MI,MI,0.1303669008587054
2011_70,2011,RCB,CSK,CSK,-0.16451612903225765
2011_71,2011,MI,KKR,MI,-0.47684036393713836
2011_72,2011,RCB,MI,RCB,1.6210446054136476
2011_73,2011,CSK,RCB,CSK,2.8524590163934427
2012_01,2012,CSK,MI,MI,-1.301282051282052
2012_02,2012,KKR,DD,DD,-0.9586645468998398
2012_03,2012,RR,KXIP,RR,1.1547695882277003
2012_04,2012,MI,PW,PW,1.4055861526357205
2012_05,2012,SRH,CSK,CSK,2.382261179616699
2012_06,2012,RCB,DD,RCB,0.9836065573770494
2012_07,2012,PW,KXIP,PW,1.0645161290322571
2012_08,2012,RR,KKR,RR,1.1839999999999993
2012_09,2012,SRH,MI,MI,-0.36829268292682915
2012_10,2012,RCB,KKR,KKR,2.3037304763134125
2012_11,2012,DD,CSK,DD,-3.0024193548387093
