match_id,first_innings,second_innings,inning_3,inning_4,inning_5,inning_6,season,venue,toss_decision,winner
2013_03,126.0,104.0,,,,,2013,Rajiv Gandhi Intl. Stadium,field,SRH
2013_04,165.0,160.0,,,,,2013,Arun Jaitley Stadium,bat,RR
2013_05,148.0,139.0,,,,,2013,MA Chidambaram Stadium,bat,MI
2013_06,99.0,100.0,,,,,2013,Subrata Roy Sahara Stadium,bat,KXIP
2013_07,130.0,130.0,20.0,15.0,,,2013,Rajiv Gandhi Intl. Stadium,bat,
2013_08,144.0,125.0,,,,,2013,Sawai Mansingh Stadium,field,RR
2013_09,161.0,162.0,,,,,2013,M Chinnaswamy Stadium,bat,RCB
2013_10,209.0,165.0,,,,,2013,Wankhede Stadium,bat,MI
2013_11,138.0,139.0,,,,,2013,PCA IS Bindra Stadium,field,CSK
2013_12,145.0,148.0,,,,,2013,Subrata Roy Sahara Stadium,bat,PW
2013_13,154.0,158.0,,,,,2013,M Chinnaswamy Stadium,field,RCB
2013_14,114.0,115.0,,,,,2013,Arun Jaitley Stadium,bat,SRH
2013_15,183.0,142.0,,,,,2013,Wankhede Stadium,bat,MI
2013_16,165.0,166.0,,,,,2013,MA Chidambaram Stadium,field,CSK
2013_17,124.0,126.0,,,,,2013,Sawai Mansingh Stadium,field,RR
2013_18,180.0,132.0,,,,,2013,Eden Gardens,bat,KKR
2013_19,159.0,135.0,,,,,2013,MA Chidambaram Stadium,bat,PW
2013_20,152.0,152.0,15.0,11.0,,,2013,M Chinnaswamy Stadium,field,
2013_21,157.0,153.0,,,,,2013,PCA IS Bindra Stadium,field,KXIP
2013_22,179.0,92.0,,,,,2013,Sawai Mansingh Stadium,bat,RR
2013_23,119.0,108.0,,,,,2013,"MCA Stadium, Pune",field,SRH
2013_24,169.0,83.0,,,,,2013,Arun Jaitley Stadium,bat,CSK
2013_25,123.0,127.0,,,,,2013,Rajiv Gandhi Intl. Stadium,bat,SRH
2013_26,117.0,123.0,,,,,2013,M Chinnaswamy Stadium,field,RCB
2013_27,119.0,124.0,,,,,2013,Eden Gardens,bat,CSK
2013_28,161.0,165.0,,,,,2013,Arun Jaitley Stadium,bat,DD
2013_29,185.0,186.0,,,,,2013,PCA IS Bindra Stadium,field,KXIP
2013_30,185.0,186.0,,,,,2013,MA Chidambaram Stadium,bat,CSK
2013_31,263.0,133.0,,,,,2013,M Chinnaswamy Stadium,field,RCB
2013_32,120.0,121.0,,,,,2013,Arun Jaitley Stadium,field,KXIP
2013_33,159.0,162.0,,,,,2013,Eden Gardens,bat,MI
2013_34,159.0,160.0,,,,,2013,MA Chidambaram Stadium,bat,CSK
2013_35,149.0,150.0,,,,,2013,Eden Gardens,bat,KKR
2013_36,144.0,146.0,,,,,2013,Sawai Mansingh Stadium,bat,RR
2013_37,194.0,136.0,,,,,2013,Wankhede Stadium,bat,MI
2013_38,200.0,186.0,,,,,2013,MA Chidambaram Stadium,field,CSK
2013_39,164.0,149.0,,,,,2013,SVNS Intl. Stadium,field,DD
2013_40,174.0,170.0,,,,,2013,Wankhede Stadium,bat,MI
