Team,Phase,Batting_Runs,Batting_Balls,Batting_Run_Rate,Batting_Boundaries,Batting_Boundary_Pct,Bowling_Runs,Bowling_Balls,Bowling_Economy,Bowling_Wickets,Bowling_Wicket_Rate
RR,Death Overs,9133,5926,9.247046911913602,1097,18.511643604454946,9623,6035,9.567191383595691,460,0.45733222866611434
SRH,Powerplay,12354,9637,7.691605271350005,1809,18.77140188855453,11786,9598,7.367784955198999,365,0.22817253594498854
SRH,Middle Overs,17375,14058,7.415706359368331,1743,12.398634229620145,17629,14034,7.536981616075246,587,0.2509619495510902
SRH,Death Overs,10805,7182,9.026733500417711,1252,17.43247006404901,11306,7124,9.522178551375632,568,0.4783829309376755
CSK,Powerplay,10991,8838,7.461642905634759,1626,18.397827562797012,11251,8870,7.610597519729425,362,0.24487034949267195
CSK,Middle Overs,16544,13095,7.580297823596792,1735,13.249331806032838,15958,13138,7.287867255289999,572,0.26122697518648197
CSK,Death Overs,11094,6718,9.908306043465316,1344,20.005954153021733,9998,6568,9.133373934226553,547,0.4996954933008526
KTK,Powerplay,680,533,7.654784240150094,103,19.324577861163228,593,531,6.700564971751413,22,0.24858757062146894
KTK,Middle Overs,831,744,6.701612903225806,80,10.75268817204301,914,759,7.225296442687747,28,0.22134387351778656
KTK,Death Overs,390,305,7.672131147540983,40,13.114754098360656,479,324,8.87037037037037,24,0.4444444444444444
PW,Powerplay,1895,1680,6.767857142857143,269,16.01190476190476,1986,1718,6.935972060535507,57,0.19906868451688012
PW,Middle Overs,2730,2481,6.60217654171705,269,10.842402257154374,2937,2487,7.085645355850422,90,0.21712907117008443
PW,Death Overs,1733,1282,8.110764430577223,183,14.274570982839313,1934,1252,9.268370607028755,91,0.43610223642172524
GL,Powerplay,1559,1125,8.314666666666668,243,21.6,1501,1120,8.04107142857143,49,0.2625
GL,Middle Overs,2144,1654,7.777509068923821,236,14.268440145102781,2235,1657,8.092939046469523,51,0.18467109233554616
GL,Death Overs,1159,787,8.836086404066075,136,17.280813214739517,1354,768,10.578125,51,0.3984375
RPS,Powerplay,1423,1120,7.623214285714286,208,18.571428571428573,1434,1122,7.668449197860962,46,0.24598930481283424
RPS,Middle Overs,1899,1596,7.139097744360902,175,10.964912280701753,1839,1605,6.874766355140187,69,0.25794392523364484
RPS,Death Overs,1211,764,9.510471204188482,142,18.586387434554975,1276,816,9.382352941176471,74,0.5441176470588235
DC,Powerplay,4709,3409,8.2880610149604,756,22.176591375770023,4434,3399,7.827007943512798,137,0.2418358340688438
DC,Middle Overs,6284,4995,7.548348348348348,670,13.413413413413414,6481,5068,7.6728492501973165,229,0.27111286503551696
DC,Death Overs,3907,2542,9.221872541306057,476,18.72541306058222,4480,2749,9.778101127682794,220,0.4801746089487086
PBKS,Powerplay,2841,2099,8.121010004764173,439,20.91472129585517,2800,2088,8.045977011494253,71,0.20402298850574713
PBKS,Middle Overs,4095,3125,7.862399999999999,464,14.848,4191,3089,8.14049854321787,130,0.25250890255746195
PBKS,Death Overs,2600,1609,9.695463020509633,332,20.633934120571784,2554,1542,9.937743190661479,134,0.5214007782101168
LSG,Powerplay,2080,1644,7.591240875912408,300,18.248175182481752,2332,1612,8.679900744416873,57,0.21215880893300246
LSG,Middle Overs,3322,2457,8.112332112332112,352,14.326414326414326,2969,2364,7.535532994923858,108,0.27411167512690354
LSG,Death Overs,2108,1299,9.736720554272518,257,19.784449576597382,2114,1250,10.1472,99,0.47519999999999996
GT,Powerplay,2184,1686,7.772241992882562,325,19.276393831553975,2302,1680,8.221428571428572,77,0.275
GT,Middle Overs,3318,2497,7.972767320784942,347,13.896676011213458,3290,2437,8.100123102174805,112,0.2757488715633976
GT,Death Overs,2255,1311,10.320366132723112,290,22.12051868802441,1883,1184,9.54222972972973,109,0.5523648648648648
