batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
Mohammed Siraj,10,70,79,7,13,10.0,88.60759493670885
Mohammed Siraj,11,26,28,2,4,13.0,92.85714285714286
Mohit Rathee,11,1,2,0,1,1.0,50.0
Mohsin Khan,9,25,20,1,4,25.0,125.0
Mohsin Khan,11,0,7,1,1,0.0,0.0
Mujeeb Ur Rahman,7,1,3,1,1,1.0,33.33333333333333
Mujeeb Ur Rahman,8,0,4,1,2,0.0,0.0
Mujeeb Ur Rahman,11,11,8,1,3,11.0,137.5
Mukesh Choudhary,11,6,6,0,2,6.0,100.0
Mukesh Kumar,9,3,8,1,1,3.0,37.5
Mukesh Kumar,10,6,8,0,1,6.0,75.0
Mukesh Kumar,11,1,4,0,3,1.0,25.0
Mustafizur Rahman,10,0,4,0,1,0.0,0.0
Mustafizur Rahman,11,13,19,1,5,13.0,68.42105263157895
N Jagadeesan,1,20,19,2,2,10.0,105.26315789473684
N Jagadeesan,2,33,44,3,3,11.0,75.0
N Jagadeesan,3,36,21,1,1,36.0,171.42857142857142
N Jagadeesan,4,73,71,3,4,24.333333333333332,102.8169014084507
N Pooran,2,0,2,2,2,0.0,0.0
N Pooran,3,71,56,4,5,17.75,126.78571428571428
N Pooran,4,522,317,18,22,29.0,164.66876971608832
N Pooran,5,802,520,24,33,33.416666666666664,154.23076923076923
N Pooran,6,305,209,7,10,43.57142857142857,145.93301435406698
N Pooran,7,69,39,1,2,69.0,176.9230769230769
N Rana,1,201,167,6,6,33.5,120.35928143712576
N Rana,2,379,289,10,10,37.9,131.14186851211073
N Rana,3,646,473,28,29,23.071428571428573,136.57505285412262
N Rana,4,964,789,37,40,26.054054054054053,122.17997465145754
N Rana,5,334,223,8,11,41.75,149.77578475336324
N Rana,6,112,74,5,5,22.4,151.35135135135135
N Saini,1,64,70,4,4,16.0,91.42857142857143
N Saini,3,70,69,5,5,14.0,101.44927536231884
N Saini,8,6,4,2,1,3.0,150.0
N Wadhera,2,4,3,1,1,4.0,133.33333333333331
N Wadhera,4,147,116,3,4,49.0,126.72413793103448
N Wadhera,6,133,104,7,7,19.0,127.88461538461537
N Wadhera,7,66,38,4,4,16.5,173.6842105263158
ND Doshi,11,0,13,1,1,0.0,0.0
NJ Maddinson,1,16,15,2,2,8.0,106.66666666666667
NJ Maddinson,2,4,6,1,1,4.0,66.66666666666666
