batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
SV Samson,4,701,559,30,35,23.366666666666667,125.40250447227193
SV Samson,5,87,72,5,5,17.4,120.83333333333333
SV Samson,6,80,79,4,6,20.0,101.26582278481013
SV Samson,7,21,10,1,1,21.0,210.0
SV Samson,8,5,2,0,1,5.0,250.0
SW Billings,1,4,5,1,1,4.0,80.0
SW Billings,2,138,107,6,6,23.0,128.97196261682242
SW Billings,4,65,60,5,6,13.0,108.33333333333333
SW Billings,5,264,193,10,10,26.4,136.78756476683938
SW Billings,6,32,34,4,4,8.0,94.11764705882352
SW Tait,9,1,1,0,1,1.0,100.0
SW Tait,10,22,25,3,4,7.333333333333333,88.0
SZ Mulani,11,1,1,0,1,1.0,100.0
Sachin Baby,5,62,51,3,3,20.666666666666668,121.56862745098039
Sachin Baby,6,79,65,6,7,13.166666666666666,121.53846153846153
Sachin Baby,7,3,7,1,1,3.0,42.857142857142854
Salman Butt,1,193,172,7,7,27.571428571428573,112.20930232558139
Sameer Rizvi,5,21,23,1,1,21.0,91.30434782608695
Sameer Rizvi,6,15,12,3,3,5.0,125.0
Sameer Rizvi,7,15,8,0,1,15.0,187.5
Sandeep Sharma,9,18,18,2,6,9.0,100.0
Sandeep Sharma,10,10,13,1,6,10.0,76.92307692307693
Sandeep Sharma,11,26,42,2,13,13.0,61.904761904761905
Sanvir Singh,6,7,6,1,1,7.0,116.66666666666667
Sanvir Singh,7,4,3,0,1,4.0,133.33333333333331
Sanvir Singh,8,6,5,1,2,6.0,120.0
Sanvir Singh,10,8,8,0,1,8.0,100.0
Saurav Chauhan,4,9,6,1,1,9.0,150.0
Saurav Chauhan,6,0,1,1,1,0.0,0.0
Saurav Chauhan,8,9,9,1,1,9.0,100.0
Shahbaz Ahmed,2,2,4,1,1,2.0,50.0
Shahbaz Ahmed,3,16,15,2,2,8.0,106.66666666666667
Shahbaz Ahmed,4,18,19,1,1,18.0,94.73684210526315
Shahbaz Ahmed,5,174,125,7,6,24.857142857142858,139.2
Shahbaz Ahmed,6,205,209,11,16,18.636363636363637,98.08612440191388
Shahbaz Ahmed,7,60,43,4,5,15.0,139.53488372093022
Shahbaz Ahmed,8,60,51,3,5,20.0,117.64705882352942
Shahbaz Ahmed,9,1,1,0,1,1.0,100.0
Shahid Afridi,2,33,15,2,2,16.5,220.00000000000003
Shahid Afridi,3,10,4,1,1,10.0,250.0
Shahid Afridi,5,35,18,3,4,11.666666666666666,194.44444444444443
Shahid Afridi,6,2,7,1,1,2.0,28.57142857142857
Shahid Afridi,8,1,2,1,1,1.0,50.0
Shakib Al Hasan,3,8,6,2,2,4.0,133.33333333333331
Shakib Al Hasan,4,175,132,5,8,35.0,132.57575757575756
Shakib Al Hasan,5,415,348,18,21,23.055555555555557,119.25287356321839
Shakib Al Hasan,6,81,78,6,8,13.5,103.84615384615385
Shakib Al Hasan,7,106,94,9,12,11.777777777777779,112.7659574468085
Shakib Al Hasan,8,10,7,0,2,10.0,142.85714285714286
Shashank Singh,4,159,102,3,6,53.0,155.88235294117646
Shashank Singh,5,41,29,1,1,41.0,141.3793103448276
Shashank Singh,6,157,107,5,7,31.4,146.72897196261684
Shashank Singh,7,66,34,2,5,33.0,194.11764705882354
Shivam Mavi,7,0,1,1,1,0.0,0.0
Shivam Mavi,8,14,22,4,4,3.5,63.63636363636363
Shivam Mavi,9,16,17,2,3,8.0,94.11764705882352
Shivam Mavi,10,21,18,2,3,10.5,116.66666666666667
Shivam Sharma,9,4,2,1,1,4.0,200.0
Shivam Sharma,10,1,1,0,1,1.0,100.0
Shivam Singh,7,2,3,0,1,2.0,66.66666666666666
Shoaib Ahmed,8,0,3,1,1,0.0,0.0
Shoaib Ahmed,10,1,2,0,1,1.0,50.0
Shoaib Ahmed,11,0,1,1,1,0.0,0.0
Shoaib Akhtar,9,2,8,1,1,2.0,25.0
Shoaib Malik,4,25,23,2,2,12.5,108.69565217391303
Shoaib Malik,5,26,25,2,2,13.0,104.0
Shoaib Malik,6,1,1,0,1,1.0,100.0
Shubman Gill,1,815,688,22,24,37.04545454545455,118.45930232558139
Shubman Gill,2,1878,1362,49,53,38.326530612244895,137.88546255506608
Shubman Gill,3,272,184,8,7,34.0,147.82608695652172
Shubman Gill,4,63,48,0,2,63.0,131.25
Shubman Gill,6,96,73,3,5,32.0,131.50684931506848
Shubman Gill,7,92,77,4,8,23.0,119.48051948051948
Sikandar Raza,4,36,22,1,1,36.0,163.63636363636365
Sikandar Raza,5,117,98,5,5,23.4,119.38775510204083
Sikandar Raza,6,5,7,1,1,5.0,71.42857142857143
Sikandar Raza,8,24,16,0,2,24.0,150.0
Simarjeet Singh,7,3,3,0,1,3.0,100.0
Simarjeet Singh,9,4,5,1,2,4.0,80.0
Sohail Tanvir,3,18,13,2,2,9.0,138.46153846153845
Sohail Tanvir,8,9,9,1,2,9.0,100.0
Sohail Tanvir,9,9,9,0,1,9.0,100.0
Sumit Kumar,6,9,9,0,1,9.0,100.0
Sumit Kumar,8,9,17,2,2,4.5,52.94117647058824
Sunny Gupta,9,0,1,1,1,0.0,0.0
Sunny Singh,4,20,11,1,1,20.0,181.8181818181818
Sunny Singh,6,16,11,2,2,8.0,145.45454545454547
Sunny Singh,7,7,9,1,2,7.0,77.77777777777779
Swapnil Singh,7,4,6,1,2,4.0,66.66666666666666
Swapnil Singh,8,47,39,3,6,15.666666666666666,120.51282051282051
Swapnil Singh,10,0,1,1,1,0.0,0.0
T Banton,1,8,14,1,1,8.0,57.14285714285714
T Banton,4,10,8,1,1,10.0,125.0
T Henderson,4,11,15,1,1,11.0,73.33333333333333
T Henderson,8,0,1,0,1,0.0,0.0
T Kohler-Cadmore,2,30,31,2,2,15.0,96.7741935483871
T Kohler-Cadmore,3,18,23,1,1,18.0,78.26086956521739
T Kohli,1,7,13,1,1,7.0,53.84615384615385
T Kohli,6,3,3,1,1,3.0,100.0
T Kohli,7,1,4,1,1,1.0,25.0
T Natarajan,10,0,1,0,1,0.0,0.0
T Natarajan,11,3,4,0,1,3.0,75.0
T Shamsi,8,2,4,0,1,2.0,50.0
T Stubbs,4,71,25,0,1,71.0,284.0
T Stubbs,5,228,135,4,8,57.0,168.88888888888889
T Stubbs,6,94,58,3,5,31.333333333333332,162.06896551724137
T Stubbs,7,7,11,1,2,7.0,63.63636363636363
T Stubbs,8,5,10,1,1,5.0,50.0
T Taibu,5,31,26,3,3,10.333333333333334,119.23076923076923
T Thushara,8,10,11,1,2,10.0,90.9090909090909
T Thushara,9,1,3,0,1,1.0,33.33333333333333
T Thushara,10,1,5,1,1,1.0,20.0
TA Boult,8,40,31,2,7,20.0,129.03225806451613
TA Boult,9,30,32,2,8,15.0,93.75
TA Boult,10,11,15,2,4,5.5,73.33333333333333
TA Boult,11,2,4,1,3,2.0,50.0
TD Paine,2,10,29,2,2,5.0,34.48275862068966
TG Southee,7,9,9,0,1,9.0,100.0
TG Southee,8,65,63,5,8,13.0,103.17460317460319
TG Southee,9,45,29,3,6,15.0,155.17241379310346
TG Southee,10,1,7,3,4,0.3333333333333333,14.285714285714285
TH David,5,214,113,6,10,35.666666666666664,189.38053097345133
TH David,6,274,168,9,15,30.444444444444443,163.0952380952381
TH David,7,127,82,5,7,25.4,154.8780487804878
TH David,8,44,54,3,3,14.666666666666666,81.48148148148148
TK Curran,6,15,17,1,1,15.0,88.23529411764706
TK Curran,7,85,62,1,4,85.0,137.09677419354838
TK Curran,8,27,29,3,5,9.0,93.10344827586206
TL Seifert,2,24,21,2,2,12.0,114.28571428571428
TL Seifert,7,2,5,1,1,2.0,40.0
TL Suman,1,46,46,5,5,9.2,100.0
TL Suman,2,20,22,2,2,10.0,90.9090909090909
TL Suman,3,292,243,12,14,24.333333333333332,120.16460905349795
TL Suman,4,59,54,2,3,29.5,109.25925925925925
TL Suman,5,100,61,2,3,50.0,163.9344262295082
TL Suman,6,115,112,6,9,19.166666666666668,102.67857142857142
TL Suman,7,44,49,1,3,44.0,89.79591836734694
TM Dilshan,1,175,159,7,7,25.0,110.062893081761
TM Dilshan,2,370,356,15,17,24.666666666666668,103.93258426966293
TM Dilshan,3,259,239,8,11,32.375,108.36820083682008
TM Dilshan,4,257,230,9,10,28.555555555555557,111.73913043478261
TM Dilshan,5,74,48,2,4,37.0,154.16666666666669
TM Dilshan,6,18,15,0,1,18.0,120.0
TM Head,1,296,194,10,10,29.6,152.57731958762886
TM Head,2,273,117,4,5,68.25,233.33333333333334
TM Head,3,72,54,3,4,24.0,133.33333333333331
TM Head,4,2,3,1,2,2.0,66.66666666666666
TM Head,5,118,82,1,3,118.0,143.90243902439025
TM Head,6,11,8,1,1,11.0,137.5
TM Srivastava,6,7,9,1,1,7.0,77.77777777777779
TM Srivastava,8,1,2,0,2,1.0,50.0
TR Birt,5,12,20,2,2,6.0,60.0
TR Birt,6,47,28,2,2,23.5,167.85714285714286
TR Birt,8,16,11,1,1,16.0,145.45454545454547
TS Mills,9,2,8,2,2,1.0,25.0
TS Mills,10,6,6,2,3,3.0,100.0
TU Deshpande,9,20,9,0,1,20.0,222.22222222222223
TU Deshpande,10,1,6,1,3,1.0,16.666666666666664
Tanush Kotian,2,24,32,1,1,24.0,75.0
Tilak Varma,3,47,35,2,2,23.5,134.28571428571428
Tilak Varma,4,566,394,14,17,40.42857142857143,143.6548223350254
Tilak Varma,5,514,387,11,17,46.72727272727273,132.81653746770024
Tilak Varma,6,29,14,1,2,29.0,207.14285714285717
U Kaul,10,0,1,0,1,0.0,0.0
UA Birla,4,7,15,1,1,7.0,46.666666666666664
UBT Chand,1,36,37,4,4,9.0,97.2972972972973
UBT Chand,2,32,43,4,4,8.0,74.4186046511628
UBT Chand,3,230,224,11,11,20.90909090909091,102.67857142857142
UBT Chand,4,2,10,1,1,2.0,20.0
UT Khawaja,2,116,97,4,5,29.0,119.58762886597938
UT Khawaja,3,11,8,1,1,11.0,137.5
UT Yadav,8,10,8,1,4,10.0,125.0
UT Yadav,9,126,115,11,25,11.454545454545455,109.56521739130434
UT Yadav,10,64,75,8,16,8.0,85.33333333333334
UT Yadav,11,8,13,1,3,8.0,61.53846153846154
Umar Gul,8,24,11,1,1,24.0,218.18181818181816
Umar Gul,9,15,8,2,3,7.5,187.5
Umran Malik,9,0,1,1,1,0.0,0.0
Umran Malik,10,23,15,0,4,23.0,153.33333333333334
V Kohli,1,2626,1976,60,70,43.766666666666666,132.89473684210526
V Kohli,2,1772,1304,42,48,42.19047619047619,135.88957055214723
V Kohli,3,2666,2192,78,87,34.17948717948718,121.62408759124088
V Kohli,4,489,394,15,16,32.6,124.11167512690355
V Kohli,5,173,158,8,8,21.625,109.49367088607596
V Kohli,6,237,170,12,13,19.75,139.41176470588235
V Kohli,7,51,42,3,4,17.0,121.42857142857142
V Pratap Singh,11,0,1,1,1,0.0,0.0
V Sehwag,1,345,250,17,17,20.294117647058822,138.0
V Sehwag,2,1853,1232,67,73,27.65671641791045,150.40584415584414
V Sehwag,3,398,261,10,10,39.8,152.4904214559387
V Sehwag,4,91,58,2,2,45.5,156.89655172413794
V Sehwag,5,41,32,2,2,20.5,128.125
V Shankar,2,4,7,1,1,4.0,57.14285714285714
V Shankar,3,164,152,7,9,23.428571428571427,107.89473684210526
V Shankar,4,354,275,12,15,29.5,128.72727272727275
V Shankar,5,421,336,14,20,30.071428571428573,125.29761904761905
V Shankar,6,144,95,5,8,28.8,151.57894736842107
V Shankar,7,10,10,2,3,5.0,100.0
V Shankar,8,18,15,2,2,9.0,120.0
V Viyaskanth,11,7,5,0,1,7.0,140.0
VG Arora,9,1,2,1,2,1.0,50.0
VG Arora,10,3,9,1,2,3.0,33.33333333333333
VG Arora,11,5,6,0,3,5.0,83.33333333333334
VH Zol,3,29,26,2,2,14.5,111.53846153846155
VR Aaron,9,23,35,1,5,23.0,65.71428571428571
VR Aaron,10,26,26,1,4,26.0,100.0
VR Aaron,11,1,12,2,3,0.5,8.333333333333332
VR Iyer,1,123,101,5,5,24.6,121.78217821782178
VR Iyer,2,485,402,17,19,28.529411764705884,120.64676616915422
VR Iyer,3,510,313,11,13,46.36363636363637,162.93929712460064
VR Iyer,4,72,65,4,4,18.0,110.76923076923077
VR Iyer,5,105,91,4,4,26.25,115.38461538461537
VR Iyer,6,17,19,1,1,17.0,89.47368421052632
VR Iyer,7,8,6,1,1,8.0,133.33333333333331
VR Iyer,8,1,1,0,1,1.0,100.0
VR Iyer,9,5,2,0,1,5.0,250.0
VRV Singh,9,0,1,1,1,0.0,0.0
VRV Singh,11,4,2,0,1,4.0,200.0
VS Malik,10,7,7,1,2,7.0,100.0
VS Yeligati,11,2,2,1,1,2.0,100.0
VVS Laxman,1,6,11,1,1,6.0,54.54545454545454
VVS Laxman,2,251,212,8,11,31.375,118.39622641509433
VVS Laxman,3,25,47,6,7,4.166666666666667,53.191489361702125
VVS Laxman,5,0,1,1,1,0.0,0.0
VY Mahesh,9,12,18,1,4,12.0,66.66666666666666
VY Mahesh,10,3,10,1,1,3.0,30.0
Vijaykumar Vyshak,9,1,4,2,3,0.5,25.0
Vijaykumar Vyshak,10,13,9,0,1,13.0,144.44444444444443
Virat Singh,4,15,26,3,2,5.0,57.692307692307686
Vishnu Vinod,2,10,21,2,2,5.0,47.61904761904761
Vishnu Vinod,5,30,20,1,1,30.0,150.0
Vishnu Vinod,6,16,17,3,3,5.333333333333333,94.11764705882352
Vivrant Sharma,1,69,49,1,1,69.0,140.81632653061226
W Jaffer,1,0,5,1,1,0.0,0.0
W Jaffer,2,120,115,5,6,24.0,104.34782608695652
W Jaffer,3,10,9,1,1,10.0,111.11111111111111
WA Mota,6,21,36,3,3,7.0,58.333333333333336
WA Mota,7,34,39,2,4,17.0,87.17948717948718
WA Mota,10,1,1,0,1,1.0,100.0
WD Parnell,2,11,15,1,1,11.0,73.33333333333333
WD Parnell,7,13,21,2,3,6.5,61.904761904761905
WD Parnell,8,25,33,6,8,4.166666666666667,75.75757575757575
WD Parnell,9,16,17,1,1,16.0,94.11764705882352
WG Jacks,3,230,133,6,8,38.333333333333336,172.93233082706766
WP Saha,1,1090,899,49,52,22.244897959183675,121.24582869855396
WP Saha,2,456,314,10,12,45.6,145.22292993630572
WP Saha,3,443,392,22,23,20.136363636363637,113.01020408163265
WP Saha,4,328,243,8,10,41.0,134.97942386831278
WP Saha,5,179,170,6,9,29.833333333333332,105.29411764705883
WP Saha,6,204,192,16,18,12.75,106.25
WP Saha,7,204,136,7,15,29.142857142857142,150.0
WP Saha,8,28,17,2,3,14.0,164.70588235294116
WP Saha,9,2,5,1,1,2.0,40.0
WPUJC Vaas,6,20,15,1,1,20.0,133.33333333333331
WPUJC Vaas,8,49,51,5,8,9.8,96.07843137254902
WPUJC Vaas,9,12,7,1,2,12.0,171.42857142857142
Washington Sundar,1,10,17,1,1,10.0,58.82352941176471
Washington Sundar,3,7,11,1,1,7.0,63.63636363636363
Washington Sundar,4,13,14,1,1,13.0,92.85714285714286
Washington Sundar,5,11,15,2,2,5.5,73.33333333333333
Washington Sundar,6,156,168,12,13,13.0,92.85714285714286
Washington Sundar,7,75,55,5,6,15.0,136.36363636363635
Washington Sundar,8,96,54,4,13,24.0,177.77777777777777
Washington Sundar,9,10,7,1,1,10.0,142.85714285714286
X Thalaivan Sargunam,6,10,17,1,1,10.0,58.82352941176471
Y Gnaneswara Rao,3,19,18,1,1,19.0,105.55555555555556
Y Nagar,3,11,10,1,1,11.0,110.00000000000001
Y Nagar,4,18,24,1,1,18.0,75.0
Y Nagar,5,102,108,2,4,51.0,94.44444444444444
Y Nagar,6,26,23,3,3,8.666666666666666,113.04347826086956
Y Nagar,7,78,71,4,5,19.5,109.85915492957747
Y Nagar,8,50,35,4,6,12.5,142.85714285714286
Y Prithvi Raj,9,0,1,0,1,0.0,0.0
Y Venugopal Rao,2,28,36,2,2,14.0,77.77777777777779
Y Venugopal Rao,3,81,75,4,5,20.25,108.0
Y Venugopal Rao,4,181,173,6,7,30.166666666666668,104.62427745664739
Y Venugopal Rao,5,246,213,10,11,24.6,115.49295774647888
Y Venugopal Rao,6,351,275,12,17,29.25,127.63636363636364
Y Venugopal Rao,7,75,82,8,9,9.375,91.46341463414635
Y Venugopal Rao,8,23,11,0,1,23.0,209.0909090909091
YA Abdulla,11,0,1,0,1,0.0,0.0
YBK Jaiswal,1,1333,905,37,40,36.027027027027025,147.29281767955803
YBK Jaiswal,2,274,190,12,12,22.833333333333332,144.21052631578948
YK Pathan,1,45,24,1,3,45.0,187.5
YK Pathan,2,130,90,6,5,21.666666666666668,144.44444444444443
YK Pathan,3,269,181,14,16,19.214285714285715,148.61878453038676
YK Pathan,4,971,648,26,34,37.34615384615385,149.8456790123457
YK Pathan,5,1091,824,35,52,31.17142857142857,132.4029126213592
YK Pathan,6,505,440,24,35,21.041666666666668,114.77272727272727
YK Pathan,7,187,113,4,8,46.75,165.4867256637168
YK Pathan,8,24,14,1,1,24.0,171.42857142857142
YS Chahal,9,7,19,1,2,7.0,36.84210526315789
YS Chahal,10,18,34,1,4,18.0,52.94117647058824
YS Chahal,11,12,36,4,11,3.0,33.33333333333333
YV Dhull,4,3,8,2,2,1.5,37.5
YV Dhull,5,13,15,1,1,13.0,86.66666666666667
YV Takawale,1,41,56,2,2,20.5,73.21428571428571
YV Takawale,2,122,107,5,5,24.4,114.01869158878503
YV Takawale,4,0,7,1,1,0.0,0.0
YV Takawale,8,29,13,0,2,29.0,223.0769230769231
Yash Dayal,10,0,1,1,1,0.0,0.0
Yashpal Singh,3,6,20,1,1,6.0,30.0
Yashpal Singh,5,21,29,2,2,10.5,72.41379310344827
Yashpal Singh,7,20,18,1,1,20.0,111.11111111111111
Younis Khan,3,3,7,1,1,3.0,42.857142857142854
Yudhvir Singh,8,1,1,1,1,1.0,100.0
Yudhvir Singh,9,21,15,3,3,7.0,140.0
Yuvraj Singh,1,50,35,1,1,50.0,142.85714285714286
Yuvraj Singh,2,4,2,0,1,4.0,200.0
Yuvraj Singh,3,247,183,12,13,20.583333333333332,134.9726775956284
Yuvraj Singh,4,1489,1201,63,74,23.634920634920636,123.98001665278935
Yuvraj Singh,5,865,679,27,32,32.03703703703704,127.39322533136965
Yuvraj Singh,6,99,107,6,6,16.5,92.5233644859813
Z Khan,3,0,3,1,1,0.0,0.0
Z Khan,7,0,4,1,1,0.0,0.0
Z Khan,8,9,16,2,5,4.5,56.25
Z Khan,9,61,67,6,11,10.166666666666666,91.04477611940298
Z Khan,10,37,25,2,4,18.5,148.0
Z Khan,11,10,26,3,5,3.3333333333333335,38.46153846153847
