match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2011_40,2011,2011-05-02,MI,KXIP,Wankhede Stadium,Mumbai,KXIP,field,MI,23,0,KA Pollard,40,runs,23
2011_41,2011,2011-05-03,SRH,KKR,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,field,KKR,20,0,YK Pathan,41,runs,20
2011_43,2011,2011-05-04,PW,MI,Dr DY Patil Sports Academy,Mumbai,PW,field,MI,21,0,R Sharma,43,runs,21
2011_44,2011,2011-05-05,KTK,KKR,Nehru Stadium,Kochi,KKR,field,KTK,17,0,BJ Hodge,44,runs,17
2011_46,2011,2011-05-06,RCB,KXIP,M Chinnaswamy Stadium,Bangalore,KXIP,field,RCB,85,0,CH Gayle,46,runs,85
2011_48,2011,2011-05-07,KKR,CSK,Eden Gardens,Kolkata,CSK,bat,KKR,10,0,Iqbal Abdulla,48,runs,10
2011_47,2011,2011-05-07,MI,DD,Wankhede Stadium,Mumbai,DD,field,MI,32,0,AT Rayudu,47,runs,32
2011_51,2011,2011-05-09,RR,CSK,Sawai Mansingh Stadium,Jaipur,RR,field,CSK,63,0,M Vijay,51,runs,63
2011_53,2011,2011-05-10,KXIP,MI,PCA IS Bindra Stadium,Chandigarh,MI,field,KXIP,76,0,BA Bhatt,53,runs,76
2011_55,2011,2011-05-12,CSK,DD,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,18,0,MS Dhoni,55,runs,18
2011_58,2011,2011-05-14,MI,SRH,Wankhede Stadium,Mumbai,SRH,bat,SRH,10,0,A Mishra,58,runs,10
2011_60,2011,2011-05-15,KXIP,DD,HPCA Stadium,Dharamsala,DD,field,KXIP,29,0,PP Chawla,60,runs,29
2011_62,2011,2011-05-17,KXIP,RCB,HPCA Stadium,Dharamsala,KXIP,bat,KXIP,111,0,AC Gilchrist,62,runs,111
2011_63,2011,2011-05-18,CSK,KTK,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,11,0,WP Saha,63,runs,11
2011_66,2011,2011-05-21,KXIP,SRH,HPCA Stadium,Dharamsala,KXIP,field,SRH,82,0,S Dhawan,66,runs,82
2011_72,2011,2011-05-27,RCB,MI,MA Chidambaram Stadium,Chennai,MI,field,RCB,43,0,CH Gayle,72,runs,43
2011_73,2011,2011-05-28,CSK,RCB,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,58,0,M Vijay,73,runs,58
2012_03,2012,2012-04-06,RR,KXIP,Sawai Mansingh Stadium,Jaipur,KXIP,field,RR,31,0,AM Rahane,3,runs,31
2012_04,2012,2012-04-06,MI,PW,Wankhede Stadium,Mumbai,MI,field,PW,28,0,SPD Smith,4,runs,28
2012_05,2012,2012-04-07,SRH,CSK,ACA-VDCA Stadium,Visakhapatnam,SRH,field,CSK,74,0,RA Jadeja,5,runs,74
2012_06,2012,2012-04-07,RCB,DD,M Chinnaswamy Stadium,Bangalore,DD,field,RCB,20,0,AB de Villiers,6,runs,20
2012_07,2012,2012-04-08,PW,KXIP,Subrata Roy Sahara Stadium,Pune,PW,bat,PW,22,0,MN Samuels,7,runs,22
2012_08,2012,2012-04-08,RR,KKR,Sawai Mansingh Stadium,Jaipur,KKR,field,RR,22,0,BJ Hodge,8,runs,22
2012_10,2012,2012-04-10,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,KKR,42,0,L Balaji,10,runs,42
2012_12,2012,2012-04-11,MI,RR,Wankhede Stadium,Mumbai,RR,field,MI,27,0,KA Pollard,12,runs,27
2012_17,2012,2012-04-15,RCB,RR,M Chinnaswamy Stadium,Bangalore,RR,bat,RR,59,0,AM Rahane,17,runs,59
2012_18,2012,2012-04-15,KKR,KXIP,Eden Gardens,Kolkata,KKR,field,KXIP,2,0,SP Narine,18,runs,2
2012_24,2012,2012-04-19,CSK,PW,MA Chidambaram Stadium,Chennai,PW,field,CSK,13,0,KMDN Kulasekara,24,runs,13
2012_26,2012,2012-04-21,DD,PW,Arun Jaitley Stadium,Delhi,DD,field,PW,20,0,SC Ganguly,26,runs,20
2012_30,2012,2012-04-23,RR,RCB,Sawai Mansingh Stadium,Jaipur,RR,field,RCB,46,0,AB de Villiers,30,runs,46
2012_33,2012,2012-04-26,PW,SRH,Subrata Roy Sahara Stadium,Pune,SRH,bat,SRH,18,0,CL White,33,runs,18
2012_34,2012,2012-04-27,DD,MI,Arun Jaitley Stadium,Delhi,MI,field,DD,37,0,V Sehwag,34,runs,37
2012_35,2012,2012-04-28,KKR,RCB,Eden Gardens,Kolkata,KKR,bat,KKR,47,0,G Gambhir,35,runs,47
2012_36,2012,2012-04-28,CSK,KXIP,MA Chidambaram Stadium,Chennai,KXIP,bat,KXIP,7,0,Mandeep Singh,36,runs,7
2012_38,2012,2012-04-29,DD,RR,Arun Jaitley Stadium,Delhi,DD,bat,DD,1,0,V Sehwag,38,runs,1
2012_40,2012,2012-05-01,SRH,PW,Barabati Stadium,Cuttack,SRH,bat,SRH,13,0,KC Sangakkara,40,runs,13
2012_43,2012,2012-05-03,PW,MI,Subrata Roy Sahara Stadium,Pune,MI,bat,MI,1,0,SL Malinga,43,runs,1
2012_44,2012,2012-05-04,CSK,SRH,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,10,0,SK Raina,44,runs,10
2012_45,2012,2012-05-05,KKR,PW,Eden Gardens,Kolkata,KKR,bat,KKR,7,0,SP Narine,45,runs,7
2012_46,2012,2012-05-05,KXIP,RR,PCA IS Bindra Stadium,Chandigarh,RR,bat,RR,43,0,SR Watson,46,runs,43
2012_51,2012,2012-05-08,SRH,KXIP,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,field,KXIP,25,0,Mandeep Singh,51,runs,25
2012_55,2012,2012-05-11,PW,RCB,Subrata Roy Sahara Stadium,Pune,PW,field,RCB,35,0,CH Gayle,55,runs,35
2012_56,2012,2012-05-12,KKR,MI,Eden Gardens,Kolkata,MI,bat,MI,27,0,RG Sharma,56,runs,27
2012_58,2012,2012-05-13,RR,PW,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,45,0,A Chandila,58,runs,45
2012_63,2012,2012-05-16,MI,KKR,Wankhede Stadium,Mumbai,MI,field,KKR,32,0,SP Narine,63,runs,32
2012_64,2012,2012-05-17,DD,RCB,Arun Jaitley Stadium,Delhi,DD,field,RCB,21,0,CH Gayle,64,runs,21
2012_68,2012,2012-05-19,PW,KKR,Subrata Roy Sahara Stadium,Pune,KKR,bat,KKR,34,0,Shakib Al Hasan,68,runs,34
2012_69,2012,2012-05-20,SRH,RCB,Rajiv Gandhi Intl. Stadium,Hyderabad,RCB,field,SRH,9,0,DW Steyn,69,runs,9
2012_71,2012,2012-05-22,DD,KKR,Subrata Roy Sahara Stadium,Pune,KKR,bat,KKR,18,0,YK Pathan,71,runs,18
2012_72,2012,2012-05-23,CSK,MI,M Chinnaswamy Stadium,Bangalore,MI,field,CSK,38,0,MS Dhoni,72,runs,38
2012_73,2012,2012-05-25,DD,CSK,MA Chidambaram Stadium,Chennai,DD,field,CSK,86,0,M Vijay,73,runs,86
2013_02,2013,2013-04-04,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,RCB,2,0,CH Gayle,2,runs,2
2013_03,2013,2013-04-05,SRH,PW,Rajiv Gandhi Intl. Stadium,Hyderabad,PW,field,SRH,22,0,A Mishra,3,runs,22
2013_04,2013,2013-04-06,DD,RR,Arun Jaitley Stadium,Delhi,RR,bat,RR,5,0,R Dravid,4,runs,5
2013_05,2013,2013-04-06,CSK,MI,MA Chidambaram Stadium,Chennai,MI,bat,MI,9,0,KA Pollard,5,runs,9
2013_08,2013,2013-04-08,RR,KKR,Sawai Mansingh Stadium,Jaipur,KKR,field,RR,19,0,SK Trivedi,8,runs,19
2013_10,2013,2013-04-09,MI,DD,Wankhede Stadium,Mumbai,MI,bat,MI,44,0,KD Karthik,10,runs,44
2013_15,2013,2013-04-13,MI,PW,Wankhede Stadium,Mumbai,MI,bat,MI,41,0,RG Sharma,15,runs,41
2013_18,2013,2013-04-14,KKR,SRH,Eden Gardens,Kolkata,KKR,bat,KKR,48,0,G Gambhir,18,runs,48
2013_19,2013,2013-04-15,CSK,PW,MA Chidambaram Stadium,Chennai,PW,bat,PW,24,0,SPD Smith,19,runs,24
2013_21,2013,2013-04-16,KXIP,KKR,PCA IS Bindra Stadium,Chandigarh,KKR,field,KXIP,4,0,MS Gony,21,runs,4
2013_22,2013,2013-04-17,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,bat,RR,87,0,AM Rahane,22,runs,87
2013_23,2013,2013-04-17,PW,SRH,"MCA Stadium, Pune",Pune,PW,field,SRH,11,0,A Mishra,23,runs,11
2013_24,2013,2013-04-18,DD,CSK,Arun Jaitley Stadium,Delhi,CSK,bat,CSK,86,0,MEK Hussey,24,runs,86
2013_31,2013,2013-04-23,RCB,PW,M Chinnaswamy Stadium,Bangalore,PW,field,RCB,130,0,CH Gayle,31,runs,130
2013_37,2013,2013-04-27,MI,RCB,Wankhede Stadium,Mumbai,MI,bat,MI,58,0,DR Smith,37,runs,58
2013_39,2013,2013-04-28,DD,PW,SVNS Intl. Stadium,Raipur,PW,field,DD,15,0,DA Warner,39,runs,15
2013_38,2013,2013-04-28,CSK,KKR,MA Chidambaram Stadium,Chennai,KKR,field,CSK,14,0,MEK Hussey,38,runs,14
2013_40,2013,2013-04-29,MI,KXIP,Wankhede Stadium,Mumbai,MI,bat,MI,4,0,RG Sharma,40,runs,4
2013_42,2013,2013-04-30,PW,CSK,Subrata Roy Sahara Stadium,Pune,CSK,bat,CSK,37,0,MS Dhoni,42,runs,37
2013_45,2013,2013-05-02,CSK,KXIP,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,15,0,SK Raina,45,runs,15
2013_46,2013,2013-05-02,PW,RCB,Subrata Roy Sahara Stadium,Pune,RCB,bat,RCB,17,0,AB de Villiers,46,runs,17
2013_50,2013,2013-05-05,MI,CSK,Wankhede Stadium,Mumbai,MI,bat,MI,60,0,MG Johnson,50,runs,60
2013_52,2013,2013-05-07,MI,KKR,Wankhede Stadium,Mumbai,MI,bat,MI,65,0,SR Tendulkar,52,runs,65
2013_54,2013,2013-05-08,SRH,CSK,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,field,CSK,77,0,SK Raina,54,runs,77
2013_56,2013,2013-05-09,PW,KKR,Subrata Roy Sahara Stadium,Pune,KKR,bat,KKR,46,0,G Gambhir,56,runs,46
2013_57,2013,2013-05-10,DD,RCB,Arun Jaitley Stadium,Delhi,DD,field,RCB,4,0,JD Unadkat,57,runs,4
2013_59,2013,2013-05-11,KXIP,SRH,PCA IS Bindra Stadium,Chandigarh,KXIP,field,SRH,30,0,PA Patel,59,runs,30
2013_63,2013,2013-05-14,CSK,DD,MA Chidambaram Stadium,Chennai,CSK,bat,CSK,33,0,MS Dhoni,63,runs,33
2013_65,2013,2013-05-15,KKR,PW,JSCA Intl. Stadium Complex,Ranchi,KKR,field,PW,7,0,MK Pandey,65,runs,7
2013_66,2013,2013-05-15,MI,RR,Wankhede Stadium,Mumbai,RR,field,MI,14,0,AP Tare,66,runs,14
2013_67,2013,2013-05-16,KXIP,DD,HPCA Stadium,Dharamsala,DD,field,KXIP,7,0,DA Miller,67,runs,7
2013_68,2013,2013-05-17,SRH,RR,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,bat,SRH,23,0,A Mishra,68,runs,23
2013_69,2013,2013-05-18,KXIP,MI,HPCA Stadium,Dharamsala,MI,field,KXIP,50,0,Azhar Mahmood,69,runs,50
2013_70,2013,2013-05-18,RCB,CSK,M Chinnaswamy Stadium,Bangalore,CSK,field,RCB,24,0,V Kohli,70,runs,24
2013_71,2013,2013-05-19,PW,DD,Subrata Roy Sahara Stadium,Pune,PW,bat,PW,38,0,LJ Wright,71,runs,38
2013_73,2013,2013-05-21,CSK,MI,Arun Jaitley Stadium,Delhi,CSK,bat,CSK,48,0,MEK Hussey,73,runs,48
2013_76,2013,2013-05-26,CSK,MI,Eden Gardens,Kolkata,MI,bat,MI,23,0,KA Pollard,76,runs,23
2014_01,2014,2014-04-16,MI,KKR,Sheikh Zayed Stadium,Abu Dhabi,KKR,bat,KKR,41,0,JH Kallis,1,runs,41
2014_08,2014,2014-04-21,CSK,DD,Sheikh Zayed Stadium,Abu Dhabi,CSK,bat,CSK,93,0,SK Raina,8,runs,93
2014_09,2014,2014-04-22,KXIP,SRH,Sharjah Cricket Stadium,,SRH,field,KXIP,72,0,GJ Maxwell,9,runs,72
2014_10,2014,2014-04-23,RR,CSK,Dubai Intl. Cricket Stadium,,RR,field,CSK,7,0,RA Jadeja,10,runs,7
2014_11,2014,2014-04-24,RCB,KKR,Sharjah Cricket Stadium,,RCB,field,KKR,2,0,CA Lynn,11,runs,2
2014_12,2014,2014-04-25,SRH,DD,Dubai Intl. Cricket Stadium,,SRH,bat,SRH,4,0,AJ Finch,12,runs,4
2014_15,2014,2014-04-26,KKR,KXIP,Sheikh Zayed Stadium,Abu Dhabi,KKR,field,KXIP,23,0,Sandeep Sharma,15,runs,23
2014_20,2014,2014-04-30,MI,SRH,Dubai Intl. Cricket Stadium,,MI,field,SRH,15,0,B Kumar,20,runs,15
2014_21,2014,2014-05-02,CSK,KKR,JSCA Intl. Stadium Complex,Ranchi,CSK,bat,CSK,34,0,RA Jadeja,21,runs,34
2014_26,2014,2014-05-05,RR,KKR,Narendra Modi Stadium,Ahmedabad,KKR,field,RR,10,0,PV Tambe,26,runs,10
2014_27,2014,2014-05-06,MI,RCB,Wankhede Stadium,Mumbai,RCB,field,MI,19,0,RG Sharma,27,runs,19
2014_29,2014,2014-05-07,KXIP,CSK,Barabati Stadium,Cuttack,CSK,field,KXIP,44,0,GJ Maxwell,29,runs,44
2014_30,2014,2014-05-08,RR,SRH,Narendra Modi Stadium,Ahmedabad,RR,field,SRH,32,0,B Kumar,30,runs,32
2014_31,2014,2014-05-09,RCB,KXIP,M Chinnaswamy Stadium,Bangalore,RCB,field,KXIP,32,0,Sandeep Sharma,31,runs,32
2014_37,2014,2014-05-13,RCB,DD,M Chinnaswamy Stadium,Bangalore,DD,field,RCB,16,0,Yuvraj Singh,37,runs,16
