match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number
2020_46,2020,2020-10-26,KKR,PBKS,Sharjah Stadium,,PBKS,field,PBKS,0,8,CH Gayle,46
2020_47,2020,2020-10-27,SRH,DC,Dubai Stadium,,DC,field,SRH,88,0,WP Saha,47
2020_48,2020,2020-10-28,RCB,MI,Sheikh Zayed Stadium,Abu Dhabi,MI,field,MI,0,5,SA Yadav,48
2020_49,2020,2020-10-29,KKR,CSK,Dubai Stadium,,CSK,field,CSK,0,6,RD Gaikwad,49
2020_50,2020,2020-10-30,PBKS,RR,Sheikh Zayed Stadium,Abu Dhabi,RR,field,RR,0,7,BA Stokes,50
2020_51,2020,2020-10-31,RCB,SRH,Sharjah Stadium,,SRH,field,SRH,0,5,Sandeep Sharma,51
2020_52,2020,2020-10-31,DC,MI,Dubai Stadium,,MI,field,MI,0,9,Ishan Kishan,52
2020_53,2020,2020-11-01,KKR,RR,Dubai Stadium,,RR,field,KKR,60,0,PJ Cummins,53
2020_54,2020,2020-11-01,PBKS,CSK,Sheikh Zayed Stadium,Abu Dhabi,CSK,field,CSK,0,9,RD Gaikwad,54
2020_55,2020,2020-11-02,RCB,DC,Sheikh Zayed Stadium,Abu Dhabi,DC,field,DC,0,6,A Nortje,55
2020_56,2020,2020-11-03,MI,SRH,Sharjah Stadium,,SRH,field,SRH,0,10,S Nadeem,56
2020_57,2020,2020-11-05,MI,DC,Dubai Stadium,,DC,field,MI,57,0,JJ Bumrah,57
2020_58,2020,2020-11-06,RCB,SRH,Sheikh Zayed Stadium,Abu Dhabi,SRH,field,SRH,0,6,KS Williamson,58
2020_59,2020,2020-11-08,DC,SRH,Sheikh Zayed Stadium,Abu Dhabi,DC,bat,DC,17,0,MP Stoinis,59
2020_60,2020,2020-11-10,DC,MI,Dubai Stadium,,DC,bat,MI,0,5,TA Boult,60
2021_01,2021,2021-04-09,MI,RCB,MA Chidambaram Stadium,Chennai,RCB,field,RCB,0,2,HV Patel,1
2021_02,2021,2021-04-10,CSK,DC,Wankhede Stadium,Mumbai,DC,field,DC,0,7,S Dhawan,2
2021_03,2021,2021-04-11,KKR,SRH,MA Chidambaram Stadium,Chennai,SRH,field,KKR,10,0,N Rana,3
2021_04,2021,2021-04-12,PBKS,RR,Wankhede Stadium,Mumbai,RR,field,PBKS,4,0,SV Samson,4
2021_05,2021,2021-04-13,MI,KKR,MA Chidambaram Stadium,Chennai,KKR,field,MI,10,0,RD Chahar,5
2021_06,2021,2021-04-14,RCB,SRH,MA Chidambaram Stadium,Chennai,SRH,field,RCB,6,0,GJ Maxwell,6
2021_07,2021,2021-04-15,DC,RR,Wankhede Stadium,Mumbai,RR,field,RR,0,3,JD Unadkat,7
2021_08,2021,2021-04-16,PBKS,CSK,Wankhede Stadium,Mumbai,CSK,field,CSK,0,6,DL Chahar,8
2021_09,2021,2021-04-17,MI,SRH,MA Chidambaram Stadium,Chennai,MI,bat,MI,13,0,KA Pollard,9
2021_10,2021,2021-04-18,RCB,KKR,MA Chidambaram Stadium,Chennai,RCB,bat,RCB,38,0,AB de Villiers,10
2021_11,2021,2021-04-18,PBKS,DC,Wankhede Stadium,Mumbai,DC,field,DC,0,6,S Dhawan,11
2021_12,2021,2021-04-19,CSK,RR,Wankhede Stadium,Mumbai,RR,field,CSK,45,0,MM Ali,12
2021_13,2021,2021-04-20,MI,DC,MA Chidambaram Stadium,Chennai,MI,bat,DC,0,6,A Mishra,13
2021_15,2021,2021-04-21,PBKS,SRH,MA Chidambaram Stadium,Chennai,PBKS,bat,SRH,0,9,JM Bairstow,15
2021_14,2021,2021-04-21,CSK,KKR,Wankhede Stadium,Mumbai,KKR,field,CSK,18,0,F du Plessis,14
2021_16,2021,2021-04-22,RR,RCB,Wankhede Stadium,Mumbai,RCB,field,RCB,0,10,D Padikkal,16
2021_17,2021,2021-04-23,MI,PBKS,MA Chidambaram Stadium,Chennai,PBKS,field,PBKS,0,9,KL Rahul,17
2021_18,2021,2021-04-24,KKR,RR,Wankhede Stadium,Mumbai,RR,field,RR,0,6,CH Morris,18
2021_19,2021,2021-04-25,DC,SRH,MA Chidambaram Stadium,Chennai,DC,bat,,0,0,PP Shaw,19
2021_20,2021,2021-04-25,CSK,RCB,Wankhede Stadium,Mumbai,CSK,bat,CSK,69,0,RA Jadeja,20
2021_21,2021,2021-04-26,PBKS,KKR,Narendra Modi Stadium,Ahmedabad,KKR,field,KKR,0,5,EJG Morgan,21
2021_22,2021,2021-04-27,RCB,DC,Narendra Modi Stadium,Ahmedabad,DC,field,RCB,1,0,AB de Villiers,22
2021_23,2021,2021-04-28,SRH,CSK,Arun Jaitley Stadium,Delhi,SRH,bat,CSK,0,7,RD Gaikwad,23
2021_24,2021,2021-04-29,KKR,DC,Narendra Modi Stadium,Ahmedabad,DC,field,DC,0,7,PP Shaw,24
2021_25,2021,2021-04-29,RR,MI,Arun Jaitley Stadium,Delhi,MI,field,MI,0,7,Q de Kock,25
2021_26,2021,2021-04-30,PBKS,RCB,Narendra Modi Stadium,Ahmedabad,RCB,field,PBKS,34,0,Harpreet Brar,26
2021_27,2021,2021-05-01,CSK,MI,Arun Jaitley Stadium,Delhi,MI,field,MI,0,4,KA Pollard,27
2021_28,2021,2021-05-02,RR,SRH,Arun Jaitley Stadium,Delhi,SRH,field,RR,55,0,JC Buttler,28
2021_29,2021,2021-05-02,PBKS,DC,Narendra Modi Stadium,Ahmedabad,DC,field,DC,0,7,MA Agarwal,29
2021_30,2021,2021-09-19,CSK,MI,Dubai Stadium,Dubai,CSK,bat,CSK,20,0,RD Gaikwad,30
2021_31,2021,2021-09-20,RCB,KKR,Zayed Stadium,Abu Dhabi,RCB,bat,KKR,0,9,CV Varun,31
2021_32,2021,2021-09-21,RR,PBKS,Dubai Stadium,Dubai,PBKS,field,RR,2,0,Kartik Tyagi,32
2021_33,2021,2021-09-22,SRH,DC,Dubai Stadium,Dubai,SRH,bat,DC,0,8,A Nortje,33
2021_34,2021,2021-09-23,MI,KKR,Zayed Stadium,Abu Dhabi,KKR,field,KKR,0,7,SP Narine,34
2021_35,2021,2021-09-24,RCB,CSK,Sharjah Stadium,Sharjah,CSK,field,CSK,0,6,DJ Bravo,35
2021_36,2021,2021-09-25,PBKS,SRH,Sharjah Stadium,Sharjah,SRH,field,PBKS,5,0,JO Holder,36
2021_37,2021,2021-09-25,DC,RR,Zayed Stadium,Abu Dhabi,RR,field,DC,33,0,SS Iyer,37
2021_38,2021,2021-09-26,RCB,MI,Dubai Stadium,Dubai,MI,field,RCB,54,0,GJ Maxwell,38
2021_39,2021,2021-09-26,KKR,CSK,Zayed Stadium,Abu Dhabi,KKR,bat,CSK,0,2,RA Jadeja,39
2021_40,2021,2021-09-27,RR,SRH,Dubai Stadium,Dubai,RR,bat,SRH,0,7,JJ Roy,40
2021_41,2021,2021-09-28,PBKS,MI,Zayed Stadium,Abu Dhabi,MI,field,MI,0,6,KA Pollard,41
2021_42,2021,2021-09-28,DC,KKR,Sharjah Stadium,Sharjah,KKR,field,KKR,0,3,SP Narine,42
2021_43,2021,2021-09-29,RR,RCB,Dubai Stadium,Dubai,RCB,field,RCB,0,7,YS Chahal,43
2021_44,2021,2021-09-30,SRH,CSK,Sharjah Stadium,Sharjah,CSK,field,CSK,0,6,JR Hazlewood,44
2021_45,2021,2021-10-01,KKR,PBKS,Dubai Stadium,Dubai,PBKS,field,PBKS,0,5,KL Rahul,45
2021_46,2021,2021-10-02,MI,DC,Sharjah Stadium,Sharjah,DC,field,DC,0,4,AR Patel,46
2021_47,2021,2021-10-02,CSK,RR,Zayed Stadium,Abu Dhabi,RR,field,RR,0,7,RD Gaikwad,47
2021_48,2021,2021-10-03,SRH,KKR,Dubai Stadium,Dubai,SRH,bat,KKR,0,6,Shubman Gill,48
2021_49,2021,2021-10-03,RCB,PBKS,Sharjah Stadium,Sharjah,RCB,bat,RCB,6,0,GJ Maxwell,49
2021_50,2021,2021-10-04,CSK,DC,Dubai Stadium,Dubai,DC,field,DC,0,3,AR Patel,50
2021_51,2021,2021-10-05,RR,MI,Sharjah Stadium,Sharjah,MI,field,MI,0,8,NM Coulter-Nile,51
2021_52,2021,2021-10-06,SRH,RCB,Zayed Stadium,Abu Dhabi,RCB,field,SRH,4,0,KS Williamson,52
2021_53,2021,2021-10-07,CSK,PBKS,Dubai Stadium,Dubai,PBKS,field,PBKS,0,6,KL Rahul,53
2021_54,2021,2021-10-07,KKR,RR,Sharjah Stadium,Sharjah,RR,field,KKR,86,0,Shivam Mavi,54
2021_55,2021,2021-10-08,MI,SRH,Zayed Stadium,Abu Dhabi,MI,bat,MI,42,0,Ishan Kishan,55
2021_56,2021,2021-10-08,DC,RCB,Dubai Stadium,Dubai,RCB,field,RCB,0,7,KS Bharat,56
2021_57,2021,2021-10-10,DC,CSK,Dubai Stadium,Dubai,CSK,field,CSK,0,4,RD Gaikwad,57
2021_58,2021,2021-10-11,RCB,KKR,Sharjah Stadium,Sharjah,RCB,bat,KKR,0,4,SP Narine,58
2021_59,2021,2021-10-13,DC,KKR,Sharjah Stadium,Sharjah,KKR,field,KKR,0,3,VR Iyer,59
2021_60,2021,2021-10-15,CSK,KKR,Dubai Stadium,Dubai,KKR,field,CSK,27,0,F du Plessis,60
2022_01,2022,2022-03-26,CSK,KKR,Wankhede Stadium,Mumbai,KKR,field,KKR,0,6,UT Yadav,1
2022_02,2022,2022-03-27,RCB,PBKS,"Dr DY Patil Sports Academy, Mumbai",Mumbai,PBKS,field,PBKS,0,5,OF Smith,2
2022_03,2022,2022-03-27,MI,DC,"Brabourne Stadium, Mumbai",Mumbai,DC,field,DC,0,4,Kuldeep Yadav,3
2022_04,2022,2022-03-28,LSG,GT,Wankhede Stadium,Mumbai,GT,field,GT,0,5,Mohammed Shami,4
2022_05,2022,2022-03-29,RR,SRH,MCA Stadium,Pune,SRH,field,RR,61,0,SV Samson,5
2022_06,2022,2022-03-30,KKR,RCB,"Dr DY Patil Sports Academy, Mumbai",Mumbai,RCB,field,RCB,0,3,PWH de Silva,6
2022_07,2022,2022-03-31,CSK,LSG,"Brabourne Stadium, Mumbai",Mumbai,LSG,field,LSG,0,6,E Lewis,7
2022_08,2022,2022-04-01,PBKS,KKR,Wankhede Stadium,Mumbai,KKR,field,KKR,0,6,UT Yadav,8
2022_09,2022,2022-04-02,RR,MI,"Dr DY Patil Sports Academy, Mumbai",Mumbai,MI,field,RR,23,0,JC Buttler,9
